forecast_date,target_date,forecast_1day,forecast_5day,actual_1day,actual_5day
2025-04-10,2025-04-14,16.164431356718314,16.025859452616128,16.97,16.51
2025-04-11,2025-04-15,16.164431356718314,16.025859452616128,15.88,15.47
2025-04-12,2025-04-16,16.164431356718314,16.025859452616128,15.72,15.48
2025-04-13,2025-04-17,16.164431356718314,16.025859452616128,16.74,14.82
2025-04-14,2025-04-18,16.164431356718314,16.025859452616128,16.51,15.25
2025-04-15,2025-04-19,16.164431356718314,16.025859452616128,15.47,15.67
2025-04-16,2025-04-20,16.164431356718314,16.025859452616128,15.48,15.22
2025-04-17,2025-04-21,16.164431356718314,16.025859452616128,14.82,15.99
2025-04-18,2025-04-22,16.164431356718314,16.025859452616128,15.25,16.15
2025-04-19,2025-04-23,16.164431356718314,16.025859452616128,15.67,16.29
2025-04-20,2025-04-24,16.164431356718314,16.025859452616128,15.22,15.44
2025-04-21,2025-04-25,16.164431356718314,16.025859452616128,15.99,15.59
2025-04-22,2025-04-26,16.164431356718314,16.025859452616128,16.15,15.93
2025-04-23,2025-04-27,16.164431356718314,16.025859452616128,16.29,16.58
2025-04-24,2025-04-28,16.164431356718314,16.025859452616128,15.44,15.77
2025-04-25,2025-04-29,16.164431356718314,16.025859452616128,15.59,14.71
2025-04-26,2025-04-30,16.164431356718314,16.025859452616128,15.93,15.13
2025-04-27,2025-05-01,16.164431356718314,16.025859452616128,16.58,15.77
2025-04-28,2025-05-02,16.164431356718314,16.025859452616128,15.77,15.14
2025-04-29,2025-05-03,16.164431356718314,16.025859452616128,14.71,15.37
2025-04-30,2025-05-04,15.34685162617406,15.549915474495693,15.13,15.87
2025-05-01,2025-05-05,15.34685162617406,15.549915474495693,15.77,15.09
2025-05-02,2025-05-06,15.34685162617406,15.549915474495693,15.14,14.92
2025-05-03,2025-05-07,15.34685162617406,15.549915474495693,15.37,15.31
2025-05-04,2025-05-08,15.34685162617406,15.549915474495693,15.87,14.2
2025-05-05,2025-05-09,15.34685162617406,15.549915474495693,15.09,14.28
2025-05-06,2025-05-10,15.34685162617406,15.549915474495693,14.92,15.37
2025-05-07,2025-05-11,15.34685162617406,15.549915474495693,15.31,15.24
2025-05-08,2025-05-12,15.34685162617406,15.549915474495693,14.2,15.43
2025-05-09,2025-05-13,15.34685162617406,15.549915474495693,14.28,15.24
2025-05-10,2025-05-14,15.34685162617406,15.549915474495693,15.37,14.85
2025-05-11,2025-05-15,15.34685162617406,15.549915474495693,15.24,16.1
2025-05-12,2025-05-16,15.34685162617406,15.549915474495693,15.43,14.52
2025-05-13,2025-05-17,15.34685162617406,15.549915474495693,15.24,14.91
2025-05-14,2025-05-18,15.34685162617406,15.549915474495693,14.85,16.82
2025-05-15,2025-05-19,15.34685162617406,15.549915474495693,16.1,15.92
2025-05-16,2025-05-20,15.34685162617406,15.549915474495693,14.52,16.02
2025-05-17,2025-05-21,15.34685162617406,15.549915474495693,14.91,15.13
2025-05-18,2025-05-22,15.34685162617406,15.549915474495693,16.82,15.5
2025-05-19,2025-05-23,15.34685162617406,15.549915474495693,15.92,15.44
2025-05-20,2025-05-24,15.81077371860505,15.782934557951366,16.02,15.58
2025-05-21,2025-05-25,15.81077371860505,15.782934557951366,15.13,14.06
2025-05-22,2025-05-26,15.81077371860505,15.782934557951366,15.5,14.27
2025-05-23,2025-05-27,15.81077371860505,15.782934557951366,15.44,14.04
2025-05-24,2025-05-28,15.81077371860505,15.782934557951366,15.58,14.04
2025-05-25,2025-05-29,15.81077371860505,15.782934557951366,14.06,14.04
2025-05-26,2025-05-30,15.81077371860505,15.782934557951366,14.27,14.04
2025-05-27,2025-05-31,15.81077371860505,15.782934557951366,14.04,14.61
2025-05-28,2025-06-01,15.81077371860505,15.782934557951366,14.04,14.98
2025-05-29,2025-06-02,15.81077371860505,15.782934557951366,14.04,15.08
2025-05-30,2025-06-03,15.81077371860505,15.782934557951366,14.04,15.08
2025-05-31,2025-06-04,15.81077371860505,15.782934557951366,14.61,15.08
2025-06-01,2025-06-05,15.81077371860505,15.782934557951366,14.98,15.08
2025-06-02,2025-06-06,15.81077371860505,15.782934557951366,15.08,15.08
2025-06-03,2025-06-11,15.81077371860505,15.782934557951366,15.08,15.17
2025-06-04,2025-06-12,15.81077371860505,15.782934557951366,15.08,15.04
2025-06-05,2025-06-13,15.81077371860505,15.782934557951366,15.08,15.14
2025-06-06,2025-06-14,15.81077371860505,15.782934557951366,15.08,14.93
2025-06-11,2025-06-15,15.81077371860505,15.782934557951366,15.17,14.46
2025-06-12,2025-06-16,15.81077371860505,15.782934557951366,15.04,15.36
2025-06-13,2025-06-17,15.169664967587938,15.332067509297087,15.14,15.41
2025-06-14,2025-06-18,15.169664967587938,15.332067509297087,14.93,15.8
2025-06-15,2025-06-19,15.169664967587938,15.332067509297087,14.46,15.28
2025-06-16,2025-06-20,15.169664967587938,15.332067509297087,15.36,15.4
2025-06-17,2025-06-21,15.169664967587938,15.332067509297087,15.41,15.5
2025-06-18,2025-06-22,15.169664967587938,15.332067509297087,15.8,15.41
2025-06-19,2025-06-23,15.169664967587938,15.332067509297087,15.28,14.7
2025-06-20,2025-06-24,15.169664967587938,15.332067509297087,15.4,15.69
2025-06-21,2025-06-25,15.169664967587938,15.332067509297087,15.5,16.63
2025-06-22,2025-06-26,15.169664967587938,15.332067509297087,15.41,15.31
2025-06-23,2025-06-27,15.169664967587938,15.332067509297087,14.7,15.35
2025-06-24,2025-06-28,15.169664967587938,15.332067509297087,15.69,14.41
2025-06-25,2025-06-29,15.169664967587938,15.332067509297087,16.63,14.85
2025-06-26,2025-06-30,15.169664967587938,15.332067509297087,15.31,15.04
2025-06-27,2025-07-01,15.169664967587938,15.332067509297087,15.35,15.27
2025-06-28,2025-07-02,15.169664967587938,15.332067509297087,14.41,15.86
2025-06-29,2025-07-03,15.169664967587938,15.332067509297087,14.85,14.88
2025-06-30,2025-07-04,15.169664967587938,15.332067509297087,15.04,16.46
2025-07-01,2025-07-05,15.169664967587938,15.332067509297087,15.27,15.78
2025-07-02,2025-07-06,15.169664967587938,15.332067509297087,15.86,14.5
2025-07-03,2025-07-07,15.565788158187576,15.561987921202837,14.88,15.52
2025-07-04,2025-07-08,15.565788158187576,15.561987921202837,16.46,14.91
2025-07-05,2025-07-09,15.565788158187576,15.561987921202837,15.78,14.91
2025-07-06,2025-07-10,15.565788158187576,15.561987921202837,14.5,14.46
2025-07-07,2025-07-11,15.565788158187576,15.561987921202837,15.52,14.78
2025-07-08,2025-07-12,15.565788158187576,15.561987921202837,14.91,15.51
2025-07-09,2025-07-13,15.565788158187576,15.561987921202837,14.91,14.82
2025-07-10,2025-07-14,15.565788158187576,15.561987921202837,14.46,14.56
2025-07-11,2025-07-15,15.565788158187576,15.561987921202837,14.78,15.22
2025-07-12,2025-07-16,15.565788158187576,15.561987921202837,15.51,15.5
2025-07-13,2025-07-17,15.565788158187576,15.561987921202837,14.82,14.39
2025-07-14,2025-07-18,15.565788158187576,15.561987921202837,14.56,14.24
2025-07-15,2025-07-19,15.565788158187576,15.561987921202837,15.22,15.88
2025-07-16,2025-07-20,15.565788158187576,15.561987921202837,15.5,15.01
2025-07-17,2025-07-21,15.565788158187576,15.561987921202837,14.39,14.87
2025-07-18,2025-07-22,15.565788158187576,15.561987921202837,14.24,15.14
2025-07-19,2025-07-23,15.565788158187576,15.561987921202837,15.88,15.4
2025-07-20,2025-07-24,15.565788158187576,15.561987921202837,15.01,15.19
2025-07-21,2025-07-25,15.565788158187576,15.561987921202837,14.87,15.5
2025-07-22,2025-07-26,15.565788158187576,15.561987921202837,15.14,15.12
2025-07-23,2025-07-27,15.178908070134023,15.316730255395983,15.4,15.1
2025-07-24,2025-07-28,15.178908070134023,15.316730255395983,15.19,13.97
2025-07-25,2025-07-29,15.178908070134023,15.316730255395983,15.5,15.31
2025-07-26,2025-07-30,15.178908070134023,15.316730255395983,15.12,14.98
2025-07-27,2025-07-31,15.178908070134023,15.316730255395983,15.1,14.32
2025-07-28,2025-08-01,15.178908070134023,15.316730255395983,13.97,14.22
2025-07-29,2025-08-02,15.178908070134023,15.316730255395983,15.31,15.1
2025-07-30,2025-08-03,15.178908070134023,15.316730255395983,14.98,15.29
2025-07-31,2025-08-04,15.178908070134023,15.316730255395983,14.32,15.31
2025-08-01,2025-08-05,15.178908070134023,15.316730255395983,14.22,14.5
2025-08-02,2025-08-06,15.178908070134023,15.316730255395983,15.1,13.88
2025-08-03,2025-08-07,15.178908070134023,15.316730255395983,15.29,15.16
2025-08-04,2025-08-08,15.178908070134023,15.316730255395983,15.31,15.75
2025-08-05,2025-08-09,15.178908070134023,15.316730255395983,14.5,15.88
